Pop,STREAM_NUMBER_SPENCE
ChPeA,1
SaSiA,2
SaSiB,2
WiCrA,3
WiCrB,3
BigMA,4
BigMB,4
BSRiA,5
BSRiB,5
CarRA,6
CarRB,6
CarRC,6
SaASA,7
PaCoA,8
PaCoC,8
SLCaA,9
SLCaB,9
SLZaA,10
SLZaB,10
SLBeA,11
SLBeC,11
SLBoA,12
SLBoB,12
ScCrA,13
ScCrB,13
WaCrA,14
WaCrB,14
PesPA,15
PesPB,15
SPCrA,16
SPCrB,16
SFLTA,17
SFLTB,17
MiCrA,18
MiCrB,18
ReCrA,19
ReCrB,19
LaLaA,20
LaLaB,20
LaOlA,21
LaOlB,21
LaBlA,22
LaBlB,22
WalCA,23
WalCB,23
RRWiA,24
RRWiB,24
GuFuA,25
GuFuB,25
GaRoA,26
GaRoB,26
ElCrA,27
ElCrB,27
NaInA,28
NaInB,28
BSCrA,29
BSCrC,29
AlSFA,30
AlSFB,30
AlSFC,30
BiRiA,31
BiRiB,31
NoSNA,32
NoSNB,32
NoLNA,33
NoLNB,33
NoLNC,33
NoSFA,34
NoSFB,34
NoSFC,34
NoKaA,35
NoKaB,35
NoKaC,35
PuCrA,36
PuCrB,36
TMSCA,37
TMSCB,37
TMLNA,38
TMLNB,38
TMRCA,39
TMRCB,39
TMSFA,40
TMSFB,40
WagCA,41
WagCB,41
UsSFA,42
UsSFB,42
BigHA,43
BigHB,43
MaSBA,44
MaSBB,44
BeRiA,45
BeRiB,45
EeInA,46
EeInB,46
EeLaA,47
EeLaB,47
EeWiA,48
EeWiB,48
EeSFA,49
EeSFB,49
HuFwA,50
HuFwB,50
MaCaA,51
MaCaB,51
MaSGA,52
MaSGB,52
MaBlA,53
MaBlB,53
RCPrA,54
RCPrB,54
RCLMA,55
RCLMB,55
RCPaA,56
RCPaB,56
KlBlA,57
KlBlB,57
KlHLA,58
KlHLB,58
KlHuA,59
KlHuB,59
WilCA,60
WilCB,60
SmSRA,61
SmSRB,61
